Long Station Name,Short Station Name,Station Number,Sample Code,Collection Date,Analyte,CAS Reg Number,Result,Rpt Limit,Units,Method,Matrix,Sample Type,Parent Sample,Description,Notes,Date,Year,Depth,Units2
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0405B2668,4/13/2005 8:30,Total Suspended Solids,0,5,1,mg/L,EPA 160.2 [1]*,"Water, Natural",Normal Sample,0,,,4/13/2005,2005,12,mg/L   
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0405B2668,4/13/2005 8:30,Dissolved Chloride,16887006,6,1,mg/L,EPA 300.0 28d Hold [1]*,"Water, Natural",Normal Sample,0,,,4/13/2005,2005,12,mg/L   
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0405B2667,4/13/2005 8:30,Dissolved Chloride,16887006,6,1,mg/L,EPA 300.0 28d Hold [1]*,"Water, Natural",Normal Sample,0,,,4/13/2005,2005,0.5,mg/L   
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0405B2668,4/13/2005 8:30,Dissolved Sulfate,14808798,9,1,mg/L,EPA 300.0 28d Hold [1]*,"Water, Natural",Normal Sample,0,,,4/13/2005,2005,12,mg/L   
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0405B2667,4/13/2005 8:30,Dissolved Sodium,7440235,10,1,mg/L,EPA 200.7 (D) [1]*,"Water, Natural",Normal Sample,0,,,4/13/2005,2005,0.5,mg/L   
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0405B2667,4/13/2005 8:30,Dissolved Sulfate,14808798,10,1,mg/L,EPA 300.0 28d Hold [1]*,"Water, Natural",Normal Sample,0,,,4/13/2005,2005,0.5,mg/L   
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0405B2668,4/13/2005 8:30,Dissolved Sodium,7440235,11,1,mg/L,EPA 200.7 (D) [1]*,"Water, Natural",Normal Sample,0,,,4/13/2005,2005,12,mg/L   
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0405B2667,4/13/2005 8:30,Dissolved Magnesium,7439954,15,1,mg/L,EPA 200.7 (D) [1]*,"Water, Natural",Normal Sample,0,,,4/13/2005,2005,0.5,mg/L   
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0405B2668,4/13/2005 8:30,Dissolved Magnesium,7439954,15,1,mg/L,EPA 200.7 (D) [1]*,"Water, Natural",Normal Sample,0,,,4/13/2005,2005,12,mg/L   
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0405B2668,4/13/2005 8:30,Total Magnesium,7439954,15,1,mg/L,EPA 200.7 (T) [1]*,"Water, Natural",Normal Sample,0,,,4/13/2005,2005,12,mg/L   
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0405B2667,4/13/2005 8:30,Total Magnesium,7439954,15,1,mg/L,EPA 200.7 (T) [1]*,"Water, Natural",Normal Sample,0,,,4/13/2005,2005,0.5,mg/L   
CLEAR LK 23 OAKS ARM CL4         ,CLEAR LK 23 OAKS ARM,A8L90072417,NA0405B2667,4/13/2005 8:30,Dissolved Calcium,7440702,21,1,mg/L,EPA 200.7 (D) [1]*,"Water, Natural",Normal Sample,0,,,4/13/2005,2005,0.5,mg/L   
